tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,4500.0,4500.0,-45.00,90.00
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,-10000.0,-10000.0,-360.00,250.00
7,7,1,SPNG,0,0,0.00,0.00
7,7,1,SMMR,-4500.0,-9000.0,-189.00,405.00
7,7,1,ATMN,0,0,0.00,0.00
7,7,1,WNTR,-5000.0,5000.0,-580.00,595.00
8,8,1,SPNG,2000.0,2000.0,-180.00,20.00
8,8,1,SMMR,1618.0,6118.0,-141.26,727.18
8,8,1,ATMN,0,0,0.00,450.00
8,8,1,WNTR,-2245.0,2755.0,-193.07,482.05
9,9,1,SPNG,2600.0,600.0,-204.00,106.00
9,9,1,SMMR,-1666.0,-3284.0,185.83,959.02
9,9,1,ATMN,-600.0,-600.0,96.00,789.00
9,9,1,WNTR,9000.0,11245.0,-262.00,615.00
10,10,1,SPNG,1600.0,-1000.0,402.46,261.54
10,10,1,SMMR,-6747.0,-5081.0,-1235.55,1060.64
10,10,1,ATMN,-600.0,0.0,96.00,789.00
10,10,1,WNTR,3400.0,-5600.0,-98.98,948.98
11,11,1,SPNG,-800.0,-2400.0,-16.00,616.00
11,11,1,SMMR,-6747.0,0.0,-1235.55,1060.64
11,11,1,ATMN,-3000.0,-2400.0,-105.00,825.00
11,11,1,WNTR,11360.0,7960.0,-838.46,1147.98
12,12,1,SPNG,900.0,1700.0,-44.10,857.00
12,12,1,SMMR,-3283.0,3464.0,-305.73,807.33
12,12,1,ATMN,-3000.0,0.0,-135.00,825.00
12,12,1,WNTR,-1360.0,-12720.0,-68.00,1711.76
13,13,1,SPNG,900.0,0.0,-44.10,857.00
13,13,1,SMMR,-443.0,2840.0,-50.11,628.05
13,13,1,ATMN,-3000.0,0.0,-135.00,825.00
13,13,1,WNTR,8640.0,10000.0,-609.60,1709.56
14,14,1,SPNG,-1100.0,-2000.0,-314.00,895.90
14,14,1,SMMR,4323.0,4766.0,-640.69,695.41
14,14,1,ATMN,-5420.0,-2420.0,-868.14,861.30
14,14,1,WNTR,8640.0,0.0,-609.60,1709.56
15,15,1,SPNG,-100.0,1000.0,-12.55,1050.45
15,15,1,SMMR,1959.0,-2364.0,-70.49,730.88
15,15,1,ATMN,-3586.0,1834.0,-557.21,907.83
15,15,1,WNTR,185.0,-8455.0,9.15,1654.13
16,16,1,SPNG,-100.0,0.0,-12.55,1050.45
16,16,1,SMMR,-643.0,-2602.0,-12.86,829.97
16,16,1,ATMN,-3586.0,0.0,411.01,907.83
16,16,1,WNTR,185.0,0.0,11.00,1654.13
17,17,1,SPNG,1900.0,2000.0,-117.00,1066.90
17,17,1,SMMR,-643.0,0.0,-96.45,829.97
17,17,1,ATMN,-3586.0,0.0,303.43,907.83
17,17,1,WNTR,2685.0,2500.0,-42.70,1716.63
18,18,1,SPNG,1900.0,0.0,-22.00,1066.90
18,18,1,SMMR,-2893.0,-2250.0,-381.88,1071.04
18,18,1,ATMN,-7739.0,-4153.0,-694.88,970.13
18,18,1,WNTR,5185.0,2500.0,-593.05,1779.13
19,19,1,SPNG,-100.0,-2000.0,-6.00,1280.90
19,19,1,SMMR,-4752.0,-1859.0,-588.46,1108.22
19,19,1,ATMN,-7739.0,0.0,-617.49,970.13
19,19,1,WNTR,2763.0,-2422.0,-150.25,1780.63
20,20,1,SPNG,-100.0,0.0,-6.00,1280.90
20,20,1,SMMR,-6610.0,-1858.0,-625.62,1071.06
20,20,1,ATMN,-2749.0,4990.0,110.54,936.25
20,20,1,WNTR,1555.0,-1208.0,-118.87,2145.02
21,21,1,SPNG,-100.0,0.0,-10.00,1280.90
21,21,1,SMMR,267.0,6877.0,-18.69,1208.44
21,21,1,ATMN,-2749.0,0.0,110.54,936.25
21,21,1,WNTR,1555.0,0.0,-118.87,2145.02
22,22,1,SPNG,1900.0,2000.0,-535.00,1298.90
22,22,1,SMMR,-1090.0,-1357.0,-21.80,1264.95
22,22,1,ATMN,-2251.0,498.0,-140.95,1341.68
22,22,1,WNTR,-4066.0,-5621.0,-276.02,2209.39
23,23,1,SPNG,900.0,-1000.0,-315.00,1632.90
23,23,1,SMMR,-1090.0,0.0,54.50,1264.95
23,23,1,ATMN,1455.0,3706.0,7.95,1511.89
23,23,1,WNTR,-4066.0,0.0,-194.70,2209.39
