tick,second_in_day,day,ticker,position,position_change,unrealized_pnl,realized_pnl
1,1,1,SPNG,0,0,0.00,0.00
1,1,1,SMMR,0,0,0.00,0.00
1,1,1,ATMN,0,0,0.00,0.00
1,1,1,WNTR,0,0,0.00,0.00
2,2,1,SPNG,0,0,0.00,0.00
2,2,1,SMMR,0,0,0.00,0.00
2,2,1,ATMN,0,0,0.00,0.00
2,2,1,WNTR,0,0,0.00,0.00
3,3,1,SPNG,0,0,0.00,0.00
3,3,1,SMMR,0,0,0.00,0.00
3,3,1,ATMN,0,0,0.00,0.00
3,3,1,WNTR,0,0,0.00,0.00
4,4,1,SPNG,0,0,0.00,0.00
4,4,1,SMMR,0,0,0.00,0.00
4,4,1,ATMN,0,0,0.00,0.00
4,4,1,WNTR,0,0,0.00,0.00
5,5,1,SPNG,0,0,0.00,0.00
5,5,1,SMMR,0,0,0.00,0.00
5,5,1,ATMN,0,0,0.00,0.00
5,5,1,WNTR,0,0,0.00,0.00
6,6,1,SPNG,0,0,0.00,0.00
6,6,1,SMMR,-9000.0,-9000.0,-315.00,0.00
6,6,1,ATMN,0,0,0.00,0.00
6,6,1,WNTR,10000.0,10000.0,-330.00,250.00
7,7,1,SPNG,-4000.0,-4000.0,-576.00,16.00
7,7,1,SMMR,-9000.0,0.0,-945.00,0.00
7,7,1,ATMN,3000.0,3000.0,-531.00,45.00
7,7,1,WNTR,10000.0,0.0,-330.00,250.00
8,8,1,SPNG,-4000.0,0.0,-896.00,16.00
8,8,1,SMMR,-5000.0,4000.0,-525.00,-217.40
8,8,1,ATMN,0,-3000.0,0.00,438.00
8,8,1,WNTR,-6001.0,-16001.0,-600.10,549.90
9,9,1,SPNG,2000.0,6000.0,-120.00,484.00
9,9,1,SMMR,-5000.0,0.0,-375.00,-217.40
9,9,1,ATMN,-3770.0,-3770.0,-965.12,388.99
9,9,1,WNTR,-6001.0,0.0,-120.02,549.90
10,10,1,SPNG,2000.0,0.0,-520.00,484.00
10,10,1,SMMR,-1850.0,3150.0,-175.75,-264.65
10,10,1,ATMN,-5704.0,-1934.0,-2050.39,418.00
10,10,1,WNTR,-9565.0,-3564.0,-918.91,820.12
11,11,1,SPNG,-400.0,-2400.0,-64.00,424.00
11,11,1,SMMR,39.0,1889.0,-0.39,-254.62
11,11,1,ATMN,-5704.0,0.0,-909.59,418.00
11,11,1,WNTR,-739.0,8826.0,-56.22,545.90
12,12,1,SPNG,1300.0,1700.0,-97.10,513.00
12,12,1,SMMR,-8961.0,-9000.0,-725.49,-72.67
12,12,1,ATMN,-1721.0,3983.0,-820.95,-1074.70
12,12,1,WNTR,5956.0,6695.0,154.42,849.63
13,13,1,SPNG,3000.0,1700.0,74.42,512.06
13,13,1,SMMR,-8750.0,211.0,-95.91,-70.76
13,13,1,ATMN,-1721.0,0.0,-373.49,-1074.70
13,13,1,WNTR,5956.0,0.0,35.30,849.63
14,14,1,SPNG,3000.0,0.0,-375.58,512.06
14,14,1,SMMR,3610.0,12360.0,-72.20,353.28
14,14,1,ATMN,-3855.0,-2134.0,-481.66,-1042.69
14,14,1,WNTR,12381.0,6425.0,-1900.69,1010.25
15,15,1,SPNG,469.0,-2531.0,11.63,524.20
15,15,1,SMMR,-3108.0,-6718.0,-89.54,662.64
15,15,1,ATMN,-4388.0,-533.0,-2500.14,-1034.69
15,15,1,WNTR,4999.0,-7382.0,-567.47,1390.30
16,16,1,SPNG,-31.0,-500.0,-1.24,702.21
16,16,1,SMMR,-289.0,2819.0,-11.22,923.23
16,16,1,ATMN,-398.0,3990.0,-147.17,-2769.41
16,16,1,WNTR,23.0,-4976.0,-2.61,1198.65
17,17,1,SPNG,1519.0,1550.0,-181.35,720.50
17,17,1,SMMR,-289.0,0.0,11.90,923.23
17,17,1,ATMN,-1526.0,-1128.0,-264.59,-2752.49
17,17,1,WNTR,-4977.0,-5000.0,-726.32,1321.95
18,18,1,SPNG,393.0,-1126.0,19.89,800.01
18,18,1,SMMR,-2539.0,-2250.0,-361.76,1232.65
18,18,1,ATMN,2088.0,3614.0,-549.69,-2927.14
18,18,1,WNTR,-4977.0,0.0,-726.32,1321.95
19,19,1,SPNG,713.0,320.0,30.52,983.06
19,19,1,SMMR,-5745.0,-3206.0,-671.71,1232.65
19,19,1,ATMN,2088.0,0.0,-883.77,-2927.14
19,19,1,WNTR,2013.0,6990.0,-179.49,884.75
20,20,1,SPNG,2713.0,2000.0,-280.78,973.06
20,20,1,SMMR,-766.0,4979.0,71.30,1733.43
20,20,1,ATMN,-1448.0,-3536.0,-210.81,-3584.43
20,20,1,WNTR,5529.0,3516.0,-312.05,972.64
21,21,1,SPNG,713.0,-2000.0,26.03,1420.07
21,21,1,SMMR,-2240.0,-1474.0,18.84,1762.91
21,21,1,ATMN,1923.0,3371.0,-431.40,-3681.38
21,21,1,WNTR,-275.0,-5804.0,-16.50,1236.71
22,22,1,SPNG,-1748.0,-2461.0,-590.44,1534.88
22,22,1,SMMR,2130.0,4370.0,124.60,2123.19
22,22,1,ATMN,1923.0,0.0,-431.40,-3681.38
22,22,1,WNTR,-3396.0,-3121.0,-33.96,1260.55
23,23,1,SPNG,-97.0,1651.0,-4.63,1814.23
23,23,1,SMMR,7435.0,5305.0,-746.47,2229.29
23,23,1,ATMN,1923.0,0.0,-200.64,-3681.38
23,23,1,WNTR,-4396.0,-1000.0,-429.60,1285.55
24,24,1,SPNG,1903.0,2000.0,-326.60,1831.54
24,24,1,SMMR,7435.0,0.0,145.73,2229.29
24,24,1,ATMN,1755.0,-168.0,-615.70,-3441.64
24,24,1,WNTR,1010.0,5406.0,-10.10,1275.20
25,25,1,SPNG,1903.0,0.0,111.09,1831.54
25,25,1,SMMR,2941.0,-4494.0,267.91,2705.32
25,25,1,ATMN,-330.0,-2085.0,-9.90,-3434.72
25,25,1,WNTR,1010.0,0.0,-20.20,1275.20
26,26,1,SPNG,1903.0,0.0,-326.60,1831.54
26,26,1,SMMR,5096.0,2155.0,504.96,2662.22
26,26,1,ATMN,2106.0,2436.0,-120.42,-3071.89
26,26,1,WNTR,-3990.0,-5000.0,-209.30,1410.30
27,27,1,SPNG,3616.0,1713.0,-884.28,1848.67
27,27,1,SMMR,-1003.0,-6099.0,-20.06,3467.72
27,27,1,ATMN,2706.0,600.0,-336.90,-3062.89
27,27,1,WNTR,-7791.0,-3801.0,-629.26,1368.48
28,28,1,SPNG,2093.0,-1523.0,-370.82,2034.91
28,28,1,SMMR,-6070.0,-5067.0,-154.13,3569.06
28,28,1,ATMN,2706.0,0.0,-282.78,-3062.89
28,28,1,WNTR,-7791.0,0.0,-629.26,1368.48
29,29,1,SPNG,2949.0,856.0,-760.27,2028.05
29,29,1,SMMR,-6070.0,0.0,-93.43,3569.06
29,29,1,ATMN,4688.0,1982.0,-696.89,-3033.16
29,29,1,WNTR,3167.0,10958.0,31.67,2035.93
30,30,1,SPNG,1029.0,-1920.0,-73.33,2436.02
30,30,1,SMMR,-816.0,5254.0,-8.16,4079.06
30,30,1,ATMN,4688.0,0.0,-837.53,-3033.16
30,30,1,WNTR,4258.0,1091.0,-143.97,2153.64
31,31,1,SPNG,1029.0,0.0,194.21,2436.02
31,31,1,SMMR,3684.0,4500.0,-471.60,4193.54
31,31,1,ATMN,484.0,-4204.0,10.33,-3300.75
31,31,1,WNTR,4258.0,0.0,-143.97,2153.64
32,32,1,SPNG,1029.0,0.0,194.21,2436.02
32,32,1,SMMR,3684.0,0.0,-66.36,4193.54
32,32,1,ATMN,2578.0,2094.0,-420.06,-3269.34
32,32,1,WNTR,4258.0,0.0,26.35,2153.64
33,33,1,SPNG,1029.0,0.0,-32.56,2852.73
33,33,1,SMMR,3684.0,0.0,-66.36,4193.54
33,33,1,ATMN,-2524.0,-5102.0,-25.24,-3057.11
33,33,1,WNTR,-2443.0,-6701.0,-193.07,2493.40
34,34,1,SPNG,1029.0,0.0,-32.56,2852.73
34,34,1,SMMR,3684.0,0.0,-66.36,4193.54
34,34,1,ATMN,-2524.0,0.0,-25.24,-3057.11
34,34,1,WNTR,3533.0,5976.0,-505.05,2469.47
35,35,1,SPNG,1029.0,0.0,-42.85,2852.73
35,35,1,SMMR,-976.0,-4660.0,-9.76,4383.16
35,35,1,ATMN,969.0,3493.0,-175.57,-2905.68
35,35,1,WNTR,-2878.0,-6411.0,-86.34,2436.81
36,36,1,SPNG,1029.0,0.0,-217.78,2852.73
36,36,1,SMMR,-3889.0,-2913.0,-87.54,4441.42
36,36,1,ATMN,3360.0,2391.0,218.25,-2832.58
36,36,1,WNTR,2042.0,4920.0,-351.08,2559.81
37,37,1,SPNG,1029.0,0.0,-135.46,2852.73
37,37,1,SMMR,5111.0,9000.0,-249.77,4611.66
37,37,1,ATMN,6360.0,3000.0,-345.75,-2892.58
37,37,1,WNTR,3272.0,1230.0,-535.58,2590.56
38,38,1,SPNG,29.0,-1000.0,3.45,3520.49
38,38,1,SMMR,5111.0,0.0,-505.32,4611.66
38,38,1,ATMN,6360.0,0.0,-345.75,-2892.58
38,38,1,WNTR,3272.0,0.0,-535.58,2590.56
39,39,1,SPNG,629.0,600.0,47.48,3526.49
39,39,1,SMMR,5111.0,0.0,-811.98,4611.66
39,39,1,ATMN,1360.0,-5000.0,116.47,-3264.40
39,39,1,WNTR,0,-3272.0,0.00,2267.66
40,40,1,SPNG,0,-629.0,0.00,3636.87
40,40,1,SMMR,2278.0,-2833.0,-361.90,4359.89
40,40,1,ATMN,-3000.0,-4360.0,150.00,-3041.73
40,40,1,WNTR,0,0,0.00,2267.66
41,41,1,SPNG,400.0,400.0,76.00,3640.87
41,41,1,SMMR,-2167.0,-4445.0,-108.35,4109.67
41,41,1,ATMN,0,3000.0,0.00,-2666.73
41,41,1,WNTR,-2068.0,-2068.0,165.44,2319.36
42,42,1,SPNG,0,-400.0,0.00,3724.87
42,42,1,SMMR,0,2167.0,0.00,4044.66
42,42,1,ATMN,0,0,0.00,-2666.73
42,42,1,WNTR,0,2068.0,0.00,2660.58
43,43,1,SPNG,0,0,0.00,3724.87
43,43,1,SMMR,0,0,0.00,4044.66
43,43,1,ATMN,0,0,0.00,-2666.73
43,43,1,WNTR,0,0,0.00,2660.58
44,44,1,SPNG,0,0,0.00,3724.87
44,44,1,SMMR,0,0,0.00,4044.66
44,44,1,ATMN,0,0,0.00,-2666.73
44,44,1,WNTR,0,0,0.00,2660.58
45,45,1,SPNG,0,0,0.00,3724.87
45,45,1,SMMR,0,0,0.00,4044.66
45,45,1,ATMN,0,0,0.00,-2666.73
45,45,1,WNTR,0,0,0.00,2660.58
46,46,1,SPNG,0,0,0.00,3724.87
46,46,1,SMMR,0,0,0.00,4044.66
46,46,1,ATMN,0,0,0.00,-2666.73
46,46,1,WNTR,0,0,0.00,2660.58
47,47,1,SPNG,0,0,0.00,3724.87
47,47,1,SMMR,0,0,0.00,4044.66
47,47,1,ATMN,0,0,0.00,-2666.73
47,47,1,WNTR,0,0,0.00,2660.58
48,48,1,SPNG,0,0,0.00,3724.87
48,48,1,SMMR,0,0,0.00,4044.66
48,48,1,ATMN,0,0,0.00,-2666.73
48,48,1,WNTR,0,0,0.00,2660.58
49,49,1,SPNG,0,0,0.00,3724.87
49,49,1,SMMR,0,0,0.00,4044.66
49,49,1,ATMN,0,0,0.00,-2666.73
49,49,1,WNTR,0,0,0.00,2660.58
50,50,1,SPNG,0,0,0.00,3724.87
50,50,1,SMMR,0,0,0.00,4044.66
50,50,1,ATMN,0,0,0.00,-2666.73
50,50,1,WNTR,0,0,0.00,2660.58
51,51,1,SPNG,0,0,0.00,3724.87
51,51,1,SMMR,0,0,0.00,4044.66
51,51,1,ATMN,0,0,0.00,-2666.73
51,51,1,WNTR,0,0,0.00,2660.58
52,52,1,SPNG,0,0,0.00,3724.87
52,52,1,SMMR,0,0,0.00,4044.66
52,52,1,ATMN,0,0,0.00,-2666.73
52,52,1,WNTR,0,0,0.00,2660.58
53,53,1,SPNG,0,0,0.00,3724.87
53,53,1,SMMR,0,0,0.00,4044.66
53,53,1,ATMN,0,0,0.00,-2666.73
53,53,1,WNTR,0,0,0.00,2660.58
54,54,1,SPNG,0,0,0.00,3724.87
54,54,1,SMMR,0,0,0.00,4044.66
54,54,1,ATMN,0,0,0.00,-2666.73
54,54,1,WNTR,0,0,0.00,2660.58
55,55,1,SPNG,0,0,0.00,3724.87
55,55,1,SMMR,0,0,0.00,4044.66
55,55,1,ATMN,0,0,0.00,-2666.73
55,55,1,WNTR,0,0,0.00,2660.58
56,56,1,SPNG,0,0,0.00,3724.87
56,56,1,SMMR,0,0,0.00,4044.66
56,56,1,ATMN,0,0,0.00,-2666.73
56,56,1,WNTR,0,0,0.00,2660.58
57,57,1,SPNG,0,0,0.00,3724.87
57,57,1,SMMR,0,0,0.00,4044.66
57,57,1,ATMN,0,0,0.00,-2666.73
57,57,1,WNTR,0,0,0.00,2660.58
58,58,1,SPNG,0,0,0.00,3724.87
58,58,1,SMMR,0,0,0.00,4044.66
58,58,1,ATMN,0,0,0.00,-2666.73
58,58,1,WNTR,0,0,0.00,2660.58
59,59,1,SPNG,0,0,0.00,3724.87
59,59,1,SMMR,0,0,0.00,4044.66
59,59,1,ATMN,0,0,0.00,-2666.73
59,59,1,WNTR,0,0,0.00,2660.58
60,0,2,SPNG,0,0,0.00,3724.87
60,0,2,SMMR,0,0,0.00,4044.66
60,0,2,ATMN,0,0,0.00,-2666.73
60,0,2,WNTR,0,0,0.00,2660.58
61,1,2,SPNG,0,0,0.00,3724.87
61,1,2,SMMR,0,0,0.00,4044.66
61,1,2,ATMN,0,0,0.00,-2666.73
61,1,2,WNTR,0,0,0.00,2660.58
62,2,2,SPNG,0,0,0.00,3724.87
62,2,2,SMMR,0,0,0.00,4044.66
62,2,2,ATMN,0,0,0.00,-2666.73
